id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2156665851,Ikujiro Nonaka|Ryoko Toyama|Noboru Konno,https://openalex.org/A5037302894|https://openalex.org/A5039690117|https://openalex.org/A5034064647,https://orcid.org/0000-0003-4823-5098||,||,,,True|False|False,,4006,,"SECI, Ba and Leadership: a Unified Model of Dynamic Knowledge Creation",https://doi.org/10.1016/s0024-6301(99)00115-6,,95.29615259,,False,en,False,closed,Long Range Planning,https://openalex.org/S9435936,0024-6301,journal,Innovation and Knowledge Management,2000-02-01,2000.0,article
https://openalex.org/W2996246608,Maria Luisa Farnese|Barbara Barbieri|Antonio Chirumbolo|Gerardo Patriotta,https://openalex.org/A5028647673|https://openalex.org/A5019730630|https://openalex.org/A5075494978|https://openalex.org/A5013724223,https://orcid.org/0000-0001-7493-9772|https://orcid.org/0000-0001-7706-2363|https://orcid.org/0000-0002-4274-2489|https://orcid.org/0000-0002-3933-7407,IT|IT|IT|GB,Sapienza University of Rome|University of Cagliari|Sapienza University of Rome|University of Warwick,https://openalex.org/I861853513|https://openalex.org/I172446870|https://openalex.org/I861853513|https://openalex.org/I39555362,False|True|False|False,cc-by,133,https://openalex.org/I172446870,Managing Knowledge in Organizations: A Nonaka’s SECI Model Operationalization,https://doi.org/10.3389/fpsyg.2019.02730,Università degli Studi di Cagliari|Regione Autonoma della Sardegna,16.47430408,https://pubmed.ncbi.nlm.nih.gov/31920792,False,en,True,gold,Frontiers in Psychology,https://openalex.org/S9692511,1664-1078,journal,Knowledge Management and Sharing,2019-12-10,2019.0,article
https://openalex.org/W2105902978,Mohamed Amine Chatti|Ralf Klamma|Matthias Jarke|Ambjörn Naeve,https://openalex.org/A5103167184|https://openalex.org/A5045535958|https://openalex.org/A5026501367|https://openalex.org/A5041066337,https://orcid.org/0000-0002-7739-3696|https://orcid.org/0000-0002-2296-3401|https://orcid.org/0000-0001-6169-2942|,DE|DE|DE|SE,RWTH Aachen University|RWTH Aachen University|RWTH Aachen University|KTH Royal Institute of Technology,https://openalex.org/I887968799|https://openalex.org/I887968799|https://openalex.org/I887968799|https://openalex.org/I86987016,True|False|False|False,,105,https://openalex.org/I887968799,The Web 2.0 Driven SECI Model Based Learning Process,https://doi.org/10.1109/icalt.2007.256,,10.08033475,,False,en,False,closed,,,,,Knowledge Management and Sharing,2007-07-01,2007.0,article
https://openalex.org/W1852819502,Stephen Gourlay,https://openalex.org/A5038313867,https://orcid.org/0000-0001-5586-9588,GB,Kingston University,https://openalex.org/I205051169,True,,80,https://openalex.org/I205051169,The SECI model of knowledge creation: some empirical shortcomings,,,0.39770584,,False,en,True,green,Research Repository (Kingston University London),https://openalex.org/S4306400991,,repository,Complex Systems and Decision Making,2003-01-01,2003.0,article
https://openalex.org/W2033990767,Tatiana Andreeva|Ирина Александровна Ихильчик,https://openalex.org/A5068600148|https://openalex.org/A5011882929,https://orcid.org/0000-0002-4045-7254|,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,81,https://openalex.org/I172901346,Applicability of the SECI Model of knowledge creation in Russian cultural context: Theoretical analysis,https://doi.org/10.1002/kpm.351,,11.53432262,,False,en,False,closed,Knowledge and Process Management,https://openalex.org/S37738278,1092-4604,journal,Global and Cross-Cultural Management,2010-11-25,2010.0,article
https://openalex.org/W4213318207,Muhammad Anshari|Mahani Hamdan,https://openalex.org/A5016450510|https://openalex.org/A5053136541,https://orcid.org/0000-0002-8160-6682|https://orcid.org/0000-0003-3859-4433,BN|BN,Universiti Brunei Darussalam|Universiti Brunei Darussalam,https://openalex.org/I189462010|https://openalex.org/I189462010,True|False,,101,https://openalex.org/I189462010,Understanding knowledge management and upskilling in Fourth Industrial Revolution: transformational shift and SECI model,https://doi.org/10.1108/vjikms-09-2021-0203,,15.06355626,,False,en,False,closed,VINE Journal of Information and Knowledge Management Systems,https://openalex.org/S4210228535,2059-5891,journal,Digital Transformation in Industry,2022-02-18,2022.0,article
https://openalex.org/W2074876126,Chei Sian Lee|Rujuta S. Kelkar,https://openalex.org/A5091447169|https://openalex.org/A5097457389,https://orcid.org/0000-0003-0891-6526|,SG|SG,Nanyang Technological University|Nanyang Technological University,https://openalex.org/I172675005|https://openalex.org/I172675005,True|False,,58,https://openalex.org/I172675005,ICT and knowledge management: perspectives from the SECI model,https://doi.org/10.1108/02640471311312401,,7.05972143,,False,en,False,closed,The Electronic Library,https://openalex.org/S902750600,0264-0473,journal,Knowledge Management and Sharing,2013-03-27,2013.0,article
https://openalex.org/W3013603574,Aderonke Olaitan Adesina|Dennis N. Ocholla,https://openalex.org/A5010192168|https://openalex.org/A5067529921,|https://orcid.org/0000-0003-3860-1736,ZA|ZA,University of Zululand|University of Zululand,https://openalex.org/I12553626|https://openalex.org/I12553626,True|False,,41,https://openalex.org/I12553626,SECI Model in Knowledge Management Practices,https://doi.org/10.25159/2663-659x/6557,,1.99703069,,False,en,False,closed,Mousaion South African Journal of Information Studies,https://openalex.org/S4210188595,0027-2639,journal,Organizational and Employee Performance,2019-12-31,2019.0,article
https://openalex.org/W2195447703,Oihab Allal‐Chérif|Mohamed Makhlouf,https://openalex.org/A5079095074|https://openalex.org/A5087414924,https://orcid.org/0000-0001-6361-8391|https://orcid.org/0000-0001-8761-9620,FR|FR,Kedge Business School|Kedge Business School,https://openalex.org/I51205905|https://openalex.org/I51205905,True|False,,58,https://openalex.org/I51205905,Using serious games to manage knowledge: The SECI model perspective,https://doi.org/10.1016/j.jbusres.2015.10.013,,2.92928046,,False,en,False,closed,Journal of Business Research,https://openalex.org/S93284759,0148-2963,journal,Knowledge Management and Sharing,2015-10-23,2015.0,article
https://openalex.org/W2770457923,Siu Loon Hoe,https://openalex.org/A5034538818,https://orcid.org/0000-0003-0148-9568,,,,True,,62,,"Tacit knowledge, nonaka and takeuchi seci model and informal knowledge processes",https://doi.org/10.1108/ijotb-09-04-2006-b002,,0.0,,False,en,False,closed,International Journal of Organization Theory and Behavior,https://openalex.org/S45044709,1093-4537,journal,Innovation and Knowledge Management,2006-03-01,2006.0,article
